Day,Date,Time,Junction,Speed
Sunday,12/2/2023,6:00,J24A-J24,70
Sunday,12/2/2023,6:00,J24-J23A,63
Sunday,12/2/2023,6:00,J23A-J23,67
Sunday,12/2/2023,6:00,J23-J22,68
Sunday,12/2/2023,6:00,J22-J21A,68
Sunday,12/2/2023,6:00,J21A-J21,62
Sunday,12/2/2023,6:00,J21-J20,63
Sunday,12/2/2023,6:00,J20-J19,60
Sunday,12/2/2023,6:00,J19-J18,61
Sunday,12/2/2023,6:00,J18-J17,62
Sunday,12/2/2023,6:00,J17-J16,61
Sunday,12/2/2023,6:00,J16-J15A,61
Sunday,12/2/2023,6:00,J15A-J15,60
Sunday,12/2/2023,6:00,J15-J14,60
Sunday,12/2/2023,6:00,J14-J13,61
Sunday,12/2/2023,6:00,J13-J12,63
Sunday,12/2/2023,6:00,J12-J11A,60
Sunday,12/2/2023,6:00,J11A-J11,60
Sunday,12/2/2023,6:00,J11-J10,68
Sunday,12/2/2023,6:00,J10-J9,62
Sunday,12/2/2023,6:00,J9-J8,60
Sunday,12/2/2023,6:00,J8-J7,60
Sunday,12/2/2023,6:00,J7-J6A,62
Sunday,12/2/2023,6:00,J6A-J6,69
Sunday,12/2/2023,6:00,J6-J5,69
Sunday,12/2/2023,6:00,J5-J4,68
Sunday,12/2/2023,6:00,J4-J2,69
Sunday,12/2/2023,6:00,J2-J1,65
Monday,13/2/2023,6:00,J48-J47,59
Monday,13/2/2023,6:00,J47-J46,65
Monday,13/2/2023,6:00,J46-J45,65
Monday,13/2/2023,6:00,J45-J43|44,60
Monday,13/2/2023,6:00,J43|44 - J42,58
Monday,13/2/2023,6:00,J42-J41,68
Monday,13/2/2023,6:00,J41-J40,61
Monday,13/2/2023,6:00,J40-J39,58
Monday,13/2/2023,6:00,J39-J38,59
Monday,13/2/2023,6:00,J38-J37,62
Monday,13/2/2023,6:00,J37-J36,63
Monday,13/2/2023,6:00,J36-J35A,65
Monday,13/2/2023,6:00,J35A-J35,62
Monday,13/2/2023,6:00,J35-J34,61
Monday,13/2/2023,6:00,J34-J33,62
Monday,13/2/2023,6:00,J33-J32,63
Monday,13/2/2023,6:00,J32-J31,61
Monday,13/2/2023,6:00,J31-J30,61
Monday,13/2/2023,6:00,J30-J29A,58
Monday,13/2/2023,6:00,J29A-J29,59
Monday,13/2/2023,6:00,J29-J28,67
Monday,13/2/2023,6:00,J28-J27,67
Monday,13/2/2023,6:00,J27-J26,61
Monday,13/2/2023,6:00,J26-J25,59
Monday,13/2/2023,6:00,J25-J24A,65
Monday,13/2/2023,6:00,J24A-J24,62
Monday,13/2/2023,6:00,J24-J23A,61
Monday,13/2/2023,6:00,J23A-J23,59
Monday,13/2/2023,6:00,J23-J22,45
Monday,13/2/2023,6:00,J22-J21A,62
Monday,13/2/2023,6:00,J21A-J21,62
Monday,13/2/2023,6:00,J21-J20,61
Monday,13/2/2023,6:00,J20-J19,66
Monday,13/2/2023,6:00,J19-J18,60
Monday,13/2/2023,6:00,J18-J17,58
Monday,13/2/2023,6:00,J17-J16,57
Monday,13/2/2023,6:00,J16-J15A,60
Monday,13/2/2023,6:00,J15A-J15,63
Monday,13/2/2023,6:00,J15-J14,61
Monday,13/2/2023,6:00,J14-J13,62
Monday,13/2/2023,6:00,J13-J12,56
Monday,13/2/2023,6:00,J12-J11A,62
Monday,13/2/2023,6:00,J11A-J11,65
Monday,13/2/2023,6:00,J11-J10,64
Monday,13/2/2023,6:00,J10-J9,60
Monday,13/2/2023,6:00,J9-J8,59
Monday,13/2/2023,6:00,J8-J7,63
Monday,13/2/2023,6:00,J7-J6A,68
Monday,13/2/2023,6:00,J6A-J6,62
Monday,13/2/2023,6:00,J6-J5,61
Monday,13/2/2023,6:00,J5-J4,62
Monday,13/2/2023,6:00,J4-J2,65
Monday,13/2/2023,6:00,J2-J1,64
Tuesday,14/2/2023,6:00,J48-J47,70
Tuesday,14/2/2023,6:00,J47-J46,68
Tuesday,14/2/2023,6:00,J46-J45,62
Tuesday,14/2/2023,6:00,J45-J43|44,59
Tuesday,14/2/2023,6:00,J43|44 - J42,61
Tuesday,14/2/2023,6:00,J42-J41,59
Tuesday,14/2/2023,6:00,J41-J40,60
Tuesday,14/2/2023,6:00,J40-J39,68
Tuesday,14/2/2023,6:00,J39-J38,60
Tuesday,14/2/2023,6:00,J38-J37,60
Tuesday,14/2/2023,6:00,J37-J36,61
Tuesday,14/2/2023,6:00,J36-J35A,63
Tuesday,14/2/2023,6:00,J35A-J35,63
Tuesday,14/2/2023,6:00,J35-J34,65
Tuesday,14/2/2023,6:00,J34-J33,60
Tuesday,14/2/2023,6:00,J33-J32,61
Tuesday,14/2/2023,6:00,J32-J31,67
Tuesday,14/2/2023,6:00,J31-J30,60
Tuesday,14/2/2023,6:00,J30-J29A,58
Tuesday,14/2/2023,6:00,J29A-J29,59
Tuesday,14/2/2023,6:00,J29-J28,59
Tuesday,14/2/2023,6:00,J28-J27,65
Tuesday,14/2/2023,6:00,J27-J26,65
Tuesday,14/2/2023,6:00,J26-J25,60
Tuesday,14/2/2023,6:00,J25-J24A,57
Tuesday,14/2/2023,6:00,J24A-J24,59
Tuesday,14/2/2023,6:00,J24-J23A,64
Tuesday,14/2/2023,6:00,J23A-J23,64
Tuesday,14/2/2023,6:00,J23-J22,65
Tuesday,14/2/2023,6:00,J22-J21A,61
Tuesday,14/2/2023,6:00,J21A-J21,66
Tuesday,14/2/2023,6:00,J21-J20,64
Tuesday,14/2/2023,6:00,J20-J19,60
Tuesday,14/2/2023,6:00,J19-J18,62
Tuesday,14/2/2023,6:00,J18-J17,61
Tuesday,14/2/2023,6:00,J17-J16,61
Tuesday,14/2/2023,6:00,J16-J15A,62
Tuesday,14/2/2023,6:00,J15A-J15,59
Tuesday,14/2/2023,6:00,J15-J14,64
Tuesday,14/2/2023,6:00,J14-J13,65
Tuesday,14/2/2023,6:00,J13-J12,69
Tuesday,14/2/2023,6:00,J12-J11A,67
Tuesday,14/2/2023,6:00,J11A-J11,64
Tuesday,14/2/2023,6:00,J11-J10,62
Tuesday,14/2/2023,6:00,J10-J9,60
Tuesday,14/2/2023,6:00,J9-J8,57
Tuesday,14/2/2023,6:00,J8-J7,48
Tuesday,14/2/2023,6:00,J7-J6A,59
Tuesday,14/2/2023,6:00,J6A-J6,65
Tuesday,14/2/2023,6:00,J6-J5,66
Tuesday,14/2/2023,6:00,J5-J4,52
Tuesday,14/2/2023,6:00,J4-J2,48
Tuesday,14/2/2023,6:00,J2-J1,63
Wednesday,15/2/2023,6:00,J48-J47,70
Wednesday,15/2/2023,6:00,J47-J46,69
Wednesday,15/2/2023,6:00,J46-J45,70
Wednesday,15/2/2023,6:00,J45-J43|44,60
Wednesday,15/2/2023,6:00,J43|44 - J42,60
Wednesday,15/2/2023,6:00,J42-J41,52
Wednesday,15/2/2023,6:00,J41-J40,68
Wednesday,15/2/2023,6:00,J40-J39,69
Wednesday,15/2/2023,6:00,J39-J38,70
Wednesday,15/2/2023,6:00,J38-J37,70
Wednesday,15/2/2023,6:00,J37-J36,70
Wednesday,15/2/2023,6:00,J36-J35A,70
Wednesday,15/2/2023,6:00,J35A-J35,68
Wednesday,15/2/2023,6:00,J35-J34,69
Wednesday,15/2/2023,6:00,J34-J33,63
Wednesday,15/2/2023,6:00,J33-J32,66
Wednesday,15/2/2023,6:00,J32-J31,67
Wednesday,15/2/2023,6:00,J31-J30,68
Wednesday,15/2/2023,6:00,J30-J29A,67
Wednesday,15/2/2023,6:00,J29A-J29,62
Wednesday,15/2/2023,6:00,J29-J28,66
Wednesday,15/2/2023,6:00,J28-J27,69
Wednesday,15/2/2023,6:00,J27-J26,69
Wednesday,15/2/2023,6:00,J26-J25,66
Wednesday,15/2/2023,6:00,J25-J24A,69
Wednesday,15/2/2023,6:00,J24A-J24,63
Wednesday,15/2/2023,6:00,J24-J23A,62
Wednesday,15/2/2023,6:00,J23A-J23,58
Wednesday,15/2/2023,6:00,J23-J22,63
Wednesday,15/2/2023,6:00,J22-J21A,70
Wednesday,15/2/2023,6:00,J21A-J21,65
Wednesday,15/2/2023,6:00,J21-J20,62
Wednesday,15/2/2023,6:00,J20-J19,56
Wednesday,15/2/2023,6:00,J19-J18,58
Wednesday,15/2/2023,6:00,J18-J17,63
Wednesday,15/2/2023,6:00,J17-J16,65
Wednesday,15/2/2023,6:00,J16-J15A,62
Wednesday,15/2/2023,6:00,J15A-J15,63
Wednesday,15/2/2023,6:00,J15-J14,65
Wednesday,15/2/2023,6:00,J14-J13,66
Wednesday,15/2/2023,6:00,J13-J12,63
Wednesday,15/2/2023,6:00,J12-J11A,65
Wednesday,15/2/2023,6:00,J11A-J11,68
Wednesday,15/2/2023,6:00,J11-J10,66
Wednesday,15/2/2023,6:00,J10-J9,69
Wednesday,15/2/2023,6:00,J9-J8,67
Wednesday,15/2/2023,6:00,J8-J7,59
Wednesday,15/2/2023,6:00,J7-J6A,64
Wednesday,15/2/2023,6:00,J6A-J6,61
Wednesday,15/2/2023,6:00,J6-J5,67
Wednesday,15/2/2023,6:00,J5-J4,67
Wednesday,15/2/2023,6:00,J4-J2,70
Wednesday,15/2/2023,6:00,J2-J1,70
Thursday,16/2/2023,6:00,J48-J47,69
Thursday,16/2/2023,6:00,J47-J46,65
Thursday,16/2/2023,6:00,J46-J45,70
Thursday,16/2/2023,6:00,J45-J43|44,59
Thursday,16/2/2023,6:00,J43|44 - J42,61
Thursday,16/2/2023,6:00,J42-J41,66
Thursday,16/2/2023,6:00,J41-J40,60
Thursday,16/2/2023,6:00,J40-J39,62
Thursday,16/2/2023,6:00,J39-J38,65
Thursday,16/2/2023,6:00,J38-J37,70
Thursday,16/2/2023,6:00,J37-J36,62
Thursday,16/2/2023,6:00,J36-J35A,64
Thursday,16/2/2023,6:00,J35A-J35,63
Thursday,16/2/2023,6:00,J35-J34,69
Thursday,16/2/2023,6:00,J34-J33,68
Thursday,16/2/2023,6:00,J33-J32,64
Thursday,16/2/2023,6:00,J32-J31,61
Thursday,16/2/2023,6:00,J31-J30,70
Thursday,16/2/2023,6:00,J30-J29A,60
Thursday,16/2/2023,6:00,J29A-J29,61
Thursday,16/2/2023,6:00,J29-J28,60
Thursday,16/2/2023,6:00,J28-J27,65
Thursday,16/2/2023,6:00,J27-J26,67
Thursday,16/2/2023,6:00,J26-J25,61
Thursday,16/2/2023,6:00,J25-J24A,59
Thursday,16/2/2023,6:00,J24A-J24,67
Thursday,16/2/2023,6:00,J24-J23A,58
Thursday,16/2/2023,6:00,J23A-J23,70
Thursday,16/2/2023,6:00,J23-J22,62
Thursday,16/2/2023,6:00,J22-J21A,68
Thursday,16/2/2023,6:00,J21A-J21,64
Thursday,16/2/2023,6:00,J21-J20,66
Thursday,16/2/2023,6:00,J20-J19,62
Thursday,16/2/2023,6:00,J19-J18,63
Thursday,16/2/2023,6:00,J18-J17,68
Thursday,16/2/2023,6:00,J17-J16,59
Thursday,16/2/2023,6:00,J16-J15A,57
Thursday,16/2/2023,6:00,J15A-J15,65
Thursday,16/2/2023,6:00,J15-J14,63
Thursday,16/2/2023,6:00,J14-J13,63
Thursday,16/2/2023,6:00,J13-J12,66
Thursday,16/2/2023,6:00,J12-J11A,63
Thursday,16/2/2023,6:00,J11A-J11,61
Thursday,16/2/2023,6:00,J11-J10,68
Thursday,16/2/2023,6:00,J10-J9,70
Thursday,16/2/2023,6:00,J9-J8,70
Thursday,16/2/2023,6:00,J8-J7,69
Thursday,16/2/2023,6:00,J7-J6A,64
Thursday,16/2/2023,6:00,J6A-J6,60
Thursday,16/2/2023,6:00,J6-J5,63
Thursday,16/2/2023,6:00,J5-J4,70
Thursday,16/2/2023,6:00,J4-J2,70
Thursday,16/2/2023,6:00,J2-J1,70
Friday,17/2/2023,12:00,J48-J47,64
Friday,17/2/2023,12:00,J47-J46,60
Friday,17/2/2023,12:00,J46-J45,60
Friday,17/2/2023,12:00,J45-J43|44,54
Friday,17/2/2023,12:00,J43|44 - J42,55
Friday,17/2/2023,12:00,J42-J41,61
Friday,17/2/2023,12:00,J41-J40,54
Friday,17/2/2023,12:00,J40-J39,63
Friday,17/2/2023,12:00,J39-J38,61
Friday,17/2/2023,12:00,J38-J37,63
Friday,17/2/2023,12:00,J37-J36,52
Friday,17/2/2023,12:00,J36-J35A,58
Friday,17/2/2023,12:00,J35A-J35,59
Friday,17/2/2023,12:00,J35-J34,55
Friday,17/2/2023,12:00,J34-J33,59
Friday,17/2/2023,12:00,J33-J32,63
Friday,17/2/2023,12:00,J32-J31,50
Friday,17/2/2023,12:00,J31-J30,64
Friday,17/2/2023,12:00,J30-J29A,59
Friday,17/2/2023,12:00,J29A-J29,54
Friday,17/2/2023,12:00,J29-J28,60
Friday,17/2/2023,12:00,J28-J27,59
Friday,17/2/2023,12:00,J27-J26,61
Friday,17/2/2023,12:00,J26-J25,63
Friday,17/2/2023,12:00,J25-J24A,48
Friday,17/2/2023,12:00,J24A-J24,62
Friday,17/2/2023,12:00,J24-J23A,63
Friday,17/2/2023,12:00,J23A-J23,58
Friday,17/2/2023,12:00,J23-J22,54
Friday,17/2/2023,12:00,J22-J21A,60
Friday,17/2/2023,12:00,J21A-J21,61
Friday,17/2/2023,12:00,J21-J20,60
Friday,17/2/2023,12:00,J20-J19,62
Friday,17/2/2023,12:00,J19-J18,59
Friday,17/2/2023,12:00,J18-J17,58
Friday,17/2/2023,12:00,J17-J16,59
Friday,17/2/2023,12:00,J16-J15A,61
Friday,17/2/2023,12:00,J15A-J15,55
Friday,17/2/2023,12:00,J15-J14,59
Friday,17/2/2023,12:00,J14-J13,60
Friday,17/2/2023,12:00,J13-J12,55
Friday,17/2/2023,12:00,J12-J11A,58
Friday,17/2/2023,12:00,J11A-J11,65
Friday,17/2/2023,12:00,J11-J10,61
Friday,17/2/2023,12:00,J10-J9,59
Friday,17/2/2023,12:00,J9-J8,59
Friday,17/2/2023,12:00,J8-J7,62
Friday,17/2/2023,12:00,J7-J6A,58
Friday,17/2/2023,12:00,J6A-J6,59
Friday,17/2/2023,12:00,J6-J5,62
Friday,17/2/2023,12:00,J5-J4,62
Friday,17/2/2023,12:00,J4-J2,61
Friday,17/2/2023,12:00,J2-J1,61
Saturday,18/2/2023,12:00,J48-J47,67
Saturday,18/2/2023,12:00,J47-J46,66
Saturday,18/2/2023,12:00,J46-J45,68
Saturday,18/2/2023,12:00,J45-J43|44,60
Saturday,18/2/2023,12:00,J43|44 - J42,61
Saturday,18/2/2023,12:00,J42-J41,65
Saturday,18/2/2023,12:00,J41-J40,69
Saturday,18/2/2023,12:00,J40-J39,60
Saturday,18/2/2023,12:00,J39-J38,60
Saturday,18/2/2023,12:00,J38-J37,65
Saturday,18/2/2023,12:00,J37-J36,64
Saturday,18/2/2023,12:00,J36-J35A,67
Saturday,18/2/2023,12:00,J35A-J35,70
Saturday,18/2/2023,12:00,J35-J34,69
Saturday,18/2/2023,12:00,J34-J33,69
Saturday,18/2/2023,12:00,J33-J32,70
Saturday,18/2/2023,12:00,J32-J31,67
Saturday,18/2/2023,12:00,J31-J30,70
Saturday,18/2/2023,12:00,J30-J29A,67
Saturday,18/2/2023,12:00,J29A-J29,63
Saturday,18/2/2023,12:00,J29-J28,62
Saturday,18/2/2023,12:00,J28-J27,63
Saturday,18/2/2023,12:00,J27-J26,70
Saturday,18/2/2023,12:00,J26-J25,70
Saturday,18/2/2023,12:00,J25-J24A,69
Saturday,18/2/2023,12:00,J24A-J24,65
Saturday,18/2/2023,12:00,J24-J23A,65
Saturday,18/2/2023,12:00,J23A-J23,61
Saturday,18/2/2023,12:00,J23-J22,67
Saturday,18/2/2023,12:00,J22-J21A,67
Saturday,18/2/2023,12:00,J21A-J21,64
Saturday,18/2/2023,12:00,J21-J20,63
Saturday,18/2/2023,12:00,J20-J19,61
Saturday,18/2/2023,12:00,J19-J18,60
Saturday,18/2/2023,12:00,J18-J17,66
Saturday,18/2/2023,12:00,J17-J16,61
Saturday,18/2/2023,12:00,J16-J15A,60
Saturday,18/2/2023,12:00,J15A-J15,60
Saturday,18/2/2023,12:00,J15-J14,67
Saturday,18/2/2023,12:00,J14-J13,63
Saturday,18/2/2023,12:00,J13-J12,63
Saturday,18/2/2023,12:00,J12-J11A,61
Saturday,18/2/2023,12:00,J11A-J11,62
Saturday,18/2/2023,12:00,J11-J10,63
Saturday,18/2/2023,12:00,J10-J9,68
Saturday,18/2/2023,12:00,J9-J8,69
Saturday,18/2/2023,12:00,J8-J7,69
Saturday,18/2/2023,12:00,J7-J6A,70
Saturday,18/2/2023,12:00,J6A-J6,62
Saturday,18/2/2023,12:00,J6-J5,65
Saturday,18/2/2023,12:00,J5-J4,61
Saturday,18/2/2023,12:00,J4-J2,61
Saturday,18/2/2023,12:00,J2-J1,64
Sunday,19/2/2023,12:00,J48-J47,62
Sunday,19/2/2023,12:00,J47-J46,68
Sunday,19/2/2023,12:00,J46-J45,65
Sunday,19/2/2023,12:00,J45-J43|44,60
Sunday,19/2/2023,12:00,J43|44 - J42,60
Sunday,19/2/2023,12:00,J42-J41,67
Sunday,19/2/2023,12:00,J41-J40,62
Sunday,19/2/2023,12:00,J40-J39,63
Sunday,19/2/2023,12:00,J39-J38,63
Sunday,19/2/2023,12:00,J38-J37,62
Sunday,19/2/2023,12:00,J37-J36,62
Sunday,19/2/2023,12:00,J36-J35A,66
Sunday,19/2/2023,12:00,J35A-J35,61
Sunday,19/2/2023,12:00,J35-J34,69
Sunday,19/2/2023,12:00,J34-J33,68
Sunday,19/2/2023,12:00,J33-J32,66
Sunday,19/2/2023,12:00,J32-J31,68
Sunday,19/2/2023,12:00,J31-J30,70
Sunday,19/2/2023,12:00,J30-J29A,70
Sunday,19/2/2023,12:00,J29A-J29,70
Sunday,19/2/2023,12:00,J29-J28,61
Sunday,19/2/2023,12:00,J28-J27,65
Sunday,19/2/2023,12:00,J27-J26,60
Sunday,19/2/2023,12:00,J26-J25,68
Sunday,19/2/2023,12:00,J25-J24A,63
Sunday,19/2/2023,12:00,J24A-J24,62
Sunday,19/2/2023,12:00,J24-J23A,62
Sunday,19/2/2023,12:00,J23A-J23,61
Sunday,19/2/2023,12:00,J23-J22,62
Sunday,19/2/2023,12:00,J22-J21A,62
Sunday,19/2/2023,12:00,J21A-J21,70
Sunday,19/2/2023,12:00,J21-J20,65
Sunday,19/2/2023,12:00,J20-J19,59
Sunday,19/2/2023,12:00,J19-J18,61
Sunday,19/2/2023,12:00,J18-J17,62
Sunday,19/2/2023,12:00,J17-J16,65
Sunday,19/2/2023,12:00,J16-J15A,63
Sunday,19/2/2023,12:00,J15A-J15,62
Sunday,19/2/2023,12:00,J15-J14,64
Sunday,19/2/2023,12:00,J14-J13,62
Sunday,19/2/2023,12:00,J13-J12,60
Sunday,19/2/2023,12:00,J12-J11A,63
Sunday,19/2/2023,12:00,J11A-J11,64
Sunday,19/2/2023,12:00,J11-J10,59
Sunday,19/2/2023,12:00,J10-J9,67
Sunday,19/2/2023,12:00,J9-J8,64
Sunday,19/2/2023,12:00,J8-J7,70
Sunday,19/2/2023,12:00,J7-J6A,70
Sunday,19/2/2023,12:00,J6A-J6,68
Sunday,19/2/2023,12:00,J6-J5,61
Sunday,19/2/2023,12:00,J5-J4,64
Sunday,19/2/2023,12:00,J4-J2,67
Sunday,19/2/2023,12:00,J2-J1,70
Monday,20/2/2023,12:00,J48-J47,69
Monday,20/2/2023,12:00,J47-J46,68
Monday,20/2/2023,12:00,J46-J45,60
Monday,20/2/2023,12:00,J45-J43|44,62
Monday,20/2/2023,12:00,J43|44 - J42,62
Monday,20/2/2023,12:00,J42-J41,60
Monday,20/2/2023,12:00,J41-J40,61
Monday,20/2/2023,12:00,J40-J39,59
Monday,20/2/2023,12:00,J39-J38,58
Monday,20/2/2023,12:00,J38-J37,61
Monday,20/2/2023,12:00,J37-J36,61
Monday,20/2/2023,12:00,J36-J35A,62
Monday,20/2/2023,12:00,J35A-J35,64
Monday,20/2/2023,12:00,J35-J34,65
Monday,20/2/2023,12:00,J34-J33,60
Monday,20/2/2023,12:00,J33-J32,68
Monday,20/2/2023,12:00,J32-J31,62
Monday,20/2/2023,12:00,J31-J30,67
Monday,20/2/2023,12:00,J30-J29A,58
Monday,20/2/2023,12:00,J29A-J29,64
Monday,20/2/2023,12:00,J29-J28,59
Monday,20/2/2023,12:00,J28-J27,61
Monday,20/2/2023,12:00,J27-J26,60
Monday,20/2/2023,12:00,J26-J25,55
Monday,20/2/2023,12:00,J25-J24A,66
Monday,20/2/2023,12:00,J24A-J24,50
Monday,20/2/2023,12:00,J24-J23A,48
Monday,20/2/2023,12:00,J23A-J23,50
Monday,20/2/2023,12:00,J23-J22,65
Monday,20/2/2023,12:00,J22-J21A,59
Monday,20/2/2023,12:00,J21A-J21,62
Monday,20/2/2023,12:00,J21-J20,65
Monday,20/2/2023,12:00,J20-J19,65
Monday,20/2/2023,12:00,J19-J18,65
Monday,20/2/2023,12:00,J18-J17,63
Monday,20/2/2023,12:00,J17-J16,62
Monday,20/2/2023,12:00,J16-J15A,62
Monday,20/2/2023,12:00,J15A-J15,61
Monday,20/2/2023,12:00,J15-J14,61
Monday,20/2/2023,12:00,J14-J13,62
Monday,20/2/2023,12:00,J13-J12,63
Monday,20/2/2023,12:00,J12-J11A,69
Monday,20/2/2023,12:00,J11A-J11,62
Monday,20/2/2023,12:00,J11-J10,60
Monday,20/2/2023,12:00,J10-J9,64
Monday,20/2/2023,12:00,J9-J8,62
